timestamp,agent.name,syscheck.path,syscheck.event,rule.description,rule.level,rule.id
"May 7, 2026 @ 01:36:08.789",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfasymlink/.htaccess,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfasymlink/.htaccess on web directory,7,500554
"May 7, 2026 @ 01:36:08.746",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfasymlink/root,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfasymlink/root on web directory,7,500554
"May 7, 2026 @ 01:02:58.941",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/node,modified,Integrity checksum changed.,7,550
"May 7, 2026 @ 01:02:58.933",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/node.txt,modified,Integrity checksum changed.,7,550
"May 7, 2026 @ 01:02:58.822",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/node.txt,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/node.txt on web directory,7,500554
"May 7, 2026 @ 01:02:58.685",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/node,modified,Integrity checksum changed.,7,550
"May 7, 2026 @ 01:02:58.672",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/node,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/node on web directory,7,500554
"May 7, 2026 @ 01:02:58.565",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/true,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/true on web directory,7,500554
"May 7, 2026 @ 01:02:58.554",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/node,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/node on web directory,7,500554
"May 7, 2026 @ 01:02:35.552",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfacgiapi/bash.alfa,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfacgiapi/bash.alfa on web directory,7,500554
"May 7, 2026 @ 01:02:35.530",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfacgiapi/py.alfa,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfacgiapi/py.alfa on web directory,7,500554
"May 7, 2026 @ 01:02:35.507",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfacgiapi/.htaccess,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfacgiapi/.htaccess on web directory,7,500554
"May 7, 2026 @ 01:02:35.506",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfacgiapi/perl.alfa,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/ALFA_DATA/alfacgiapi/perl.alfa on web directory,7,500554
"May 7, 2026 @ 01:01:48.513",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/1778090508sar.jpg,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/1778090508sar.jpg on web directory,7,500554
"May 7, 2026 @ 01:01:02.401",VM-Stamar-Ambon,/var/www/html/ptsp/te-starter/securedfile/1778090462373.pdf,added,[File creation on web directory]: New file /var/www/html/ptsp/te-starter/securedfile/1778090462373.pdf on web directory,7,500554
